originAggRegion,destinationAggRegion,year,count
Africa,Africa,1975,1
Africa,Africa,1985,65
Africa,Africa,1986,32
Africa,Africa,1987,27
Africa,Africa,1988,42
Africa,Africa,1989,27
Africa,Africa,1990,133
Africa,Africa,1991,71
Africa,Africa,1992,56
Africa,Africa,1993,6
Africa,Africa,1994,38
Africa,Africa,1995,52
Africa,Africa,1996,80
Africa,Africa,1997,36
Africa,Africa,1998,25
Africa,Africa,1999,15
Africa,Africa,2000,602
Africa,Africa,2001,1019
Africa,Africa,2002,499
Africa,Africa,2003,308
Africa,Africa,2004,691
Africa,Africa,2005,2347
Africa,Africa,2006,13538
Africa,Africa,2007,14542
Africa,Africa,2008,17932
Africa,Africa,2009,18206
Africa,Africa,2010,2793
Africa,Americas,1975,1
Africa,Americas,1985,5
Africa,Americas,1986,3
Africa,Americas,1988,11
Africa,Americas,1989,4
Africa,Americas,1990,8
Africa,Americas,1991,6
Africa,Americas,1992,5
Africa,Americas,1993,2
Africa,Americas,1994,3
Africa,Americas,1995,2
Africa,Americas,1996,7
Africa,Americas,1997,4
Africa,Americas,1998,4
Africa,Americas,1999,4
Africa,Americas,2000,48
Africa,Americas,2001,94
Africa,Americas,2002,68
Africa,Americas,2003,61
Africa,Americas,2004,313
Africa,Americas,2005,688
Africa,Americas,2006,1432
Africa,Americas,2007,1998
Africa,Americas,2008,1717
Africa,Americas,2009,1985
Africa,Americas,2010,460
Africa,Asia,1975,1
Africa,Asia,1985,9
Africa,Asia,1986,7
Africa,Asia,1987,2
Africa,Asia,1988,8
Africa,Asia,1989,6
Africa,Asia,1990,15
Africa,Asia,1991,6
Africa,Asia,1994,4
Africa,Asia,1995,1
Africa,Asia,1996,3
Africa,Asia,1997,3
Africa,Asia,2000,2
Africa,Asia,2001,10
Africa,Asia,2002,11
Africa,Asia,2003,8
Africa,Asia,2004,9
Africa,Asia,2005,46
Africa,Asia,2006,772
Africa,Asia,2007,1150
Africa,Asia,2008,997
Africa,Asia,2009,1252
Africa,Asia,2010,173
Africa,Europe,1975,1
Africa,Europe,1985,20
Africa,Europe,1986,6
Africa,Europe,1987,9
Africa,Europe,1988,20
Africa,Europe,1989,9
Africa,Europe,1990,49
Africa,Europe,1991,16
Africa,Europe,1992,6
Africa,Europe,1993,1
Africa,Europe,1994,15
Africa,Europe,1995,12
Africa,Europe,1996,10
Africa,Europe,1997,6
Africa,Europe,1998,6
Africa,Europe,1999,8
Africa,Europe,2000,145
Africa,Europe,2001,161
Africa,Europe,2002,61
Africa,Europe,2003,8
Africa,Europe,2004,10
Africa,Europe,2005,411
Africa,Europe,2006,3091
Africa,Europe,2007,3722
Africa,Europe,2008,3761
Africa,Europe,2009,3985
Africa,Europe,2010,308
Africa,Oceania,2001,21
Africa,Oceania,2002,17
Africa,Oceania,2006,310
Africa,Oceania,2007,200
Africa,Oceania,2008,384
Africa,Oceania,2009,293
Africa,Oceania,2010,36
Americas,Africa,1985,16
Americas,Africa,1986,3
Americas,Africa,1987,4
Americas,Africa,1988,2
Americas,Africa,1989,16
Americas,Africa,1990,15
Americas,Africa,1991,1
Americas,Africa,1992,2
Americas,Africa,1993,10
Americas,Africa,1995,11
Americas,Africa,1996,21
Americas,Africa,1997,3
Americas,Africa,1998,11
Americas,Africa,1999,6
Americas,Africa,2000,25
Americas,Africa,2001,10
Americas,Africa,2002,2
Americas,Africa,2003,12
Americas,Africa,2004,9
Americas,Africa,2005,15
Americas,Africa,2006,503
Americas,Africa,2007,732
Americas,Africa,2008,1891
Americas,Africa,2009,3470
Americas,Africa,2010,591
Americas,Americas,1966,9
Americas,Americas,1985,24
Americas,Americas,1986,22
Americas,Americas,1987,16
Americas,Americas,1988,29
Americas,Americas,1989,48
Americas,Americas,1990,11
Americas,Americas,1991,16
Americas,Americas,1992,33
Americas,Americas,1993,10
Americas,Americas,1994,19
Americas,Americas,1995,6
Americas,Americas,1996,22
Americas,Americas,1997,9
Americas,Americas,1998,60
Americas,Americas,1999,110
Americas,Americas,2000,32
Americas,Americas,2001,96
Americas,Americas,2002,128
Americas,Americas,2003,660
Americas,Americas,2004,1090
Americas,Americas,2005,3178
Americas,Americas,2006,27052
Americas,Americas,2007,24586
Americas,Americas,2008,24308
Americas,Americas,2009,26426
Americas,Americas,2010,4325
Americas,Asia,1985,47
Americas,Asia,1986,8
Americas,Asia,1987,18
Americas,Asia,1989,5
Americas,Asia,1990,30
Americas,Asia,1992,4
Americas,Asia,1993,8
Americas,Asia,1994,10
Americas,Asia,1995,7
Americas,Asia,1996,37
Americas,Asia,1997,14
Americas,Asia,1998,23
Americas,Asia,1999,31
Americas,Asia,2000,22
Americas,Asia,2001,49
Americas,Asia,2002,5
Americas,Asia,2003,30
Americas,Asia,2004,26
Americas,Asia,2005,67
Americas,Asia,2006,765
Americas,Asia,2007,1628
Americas,Asia,2008,4302
Americas,Asia,2009,5587
Americas,Asia,2010,1005
Americas,Europe,1966,1
Americas,Europe,1985,35
Americas,Europe,1986,3
Americas,Europe,1987,2
Americas,Europe,1988,1
Americas,Europe,1989,14
Americas,Europe,1990,14
Americas,Europe,1991,1
Americas,Europe,1992,15
Americas,Europe,1993,6
Americas,Europe,1994,4
Americas,Europe,1995,6
Americas,Europe,1996,12
Americas,Europe,1997,8
Americas,Europe,1998,4
Americas,Europe,1999,15
Americas,Europe,2000,26
Americas,Europe,2001,28
Americas,Europe,2002,3
Americas,Europe,2003,37
Americas,Europe,2004,18
Americas,Europe,2005,99
Americas,Europe,2006,1666
Americas,Europe,2007,2006
Americas,Europe,2008,4005
Americas,Europe,2009,4595
Americas,Europe,2010,822
Americas,Oceania,1985,1
Americas,Oceania,1989,1
Americas,Oceania,1995,2
Americas,Oceania,2000,5
Americas,Oceania,2001,3
Americas,Oceania,2003,3
Americas,Oceania,2004,2
Americas,Oceania,2005,5
Americas,Oceania,2006,74
Americas,Oceania,2007,153
Americas,Oceania,2008,402
Americas,Oceania,2009,645
Americas,Oceania,2010,96
Asia,Africa,1985,20
Asia,Africa,1986,6
Asia,Africa,1987,2
Asia,Africa,1988,4
Asia,Africa,1989,2
Asia,Africa,1990,11
Asia,Africa,1991,4
Asia,Africa,1992,11
Asia,Africa,1994,1
Asia,Africa,1995,14
Asia,Africa,1996,8
Asia,Africa,1997,5
Asia,Africa,1998,8
Asia,Africa,1999,1
Asia,Africa,2000,1
Asia,Africa,2001,7
Asia,Africa,2002,7
Asia,Africa,2003,75
Asia,Africa,2004,41
Asia,Africa,2005,66
Asia,Africa,2006,933
Asia,Africa,2007,1968
Asia,Africa,2008,2354
Asia,Africa,2009,2235
Asia,Africa,2010,333
Asia,Americas,1973,1
Asia,Americas,1985,6
Asia,Americas,1986,4
Asia,Americas,1987,1
Asia,Americas,1988,12
Asia,Americas,1989,7
Asia,Americas,1990,11
Asia,Americas,1991,5
Asia,Americas,1992,9
Asia,Americas,1993,6
Asia,Americas,1994,9
Asia,Americas,1995,9
Asia,Americas,1996,1
Asia,Americas,1997,9
Asia,Americas,1998,10
Asia,Americas,1999,8
Asia,Americas,2000,11
Asia,Americas,2001,20
Asia,Americas,2002,197
Asia,Americas,2003,816
Asia,Americas,2004,927
Asia,Americas,2005,1796
Asia,Americas,2006,4261
Asia,Americas,2007,4368
Asia,Americas,2008,4428
Asia,Americas,2009,4875
Asia,Americas,2010,824
Asia,Asia,1972,7
Asia,Asia,1973,4
Asia,Asia,1975,1
Asia,Asia,1978,6
Asia,Asia,1979,27
Asia,Asia,1985,227
Asia,Asia,1986,85
Asia,Asia,1987,62
Asia,Asia,1988,98
Asia,Asia,1989,200
Asia,Asia,1990,127
Asia,Asia,1991,60
Asia,Asia,1992,70
Asia,Asia,1993,42
Asia,Asia,1994,68
Asia,Asia,1995,109
Asia,Asia,1996,100
Asia,Asia,1997,149
Asia,Asia,1998,146
Asia,Asia,1999,54
Asia,Asia,2000,163
Asia,Asia,2001,434
Asia,Asia,2002,821
Asia,Asia,2003,2800
Asia,Asia,2004,2641
Asia,Asia,2005,5556
Asia,Asia,2006,54753
Asia,Asia,2007,61222
Asia,Asia,2008,65751
Asia,Asia,2009,66443
Asia,Asia,2010,9993
Asia,Europe,1972,4
Asia,Europe,1978,2
Asia,Europe,1979,6
Asia,Europe,1985,35
Asia,Europe,1986,26
Asia,Europe,1987,1
Asia,Europe,1988,21
Asia,Europe,1989,36
Asia,Europe,1990,16
Asia,Europe,1991,2
Asia,Europe,1992,13
Asia,Europe,1993,4
Asia,Europe,1994,14
Asia,Europe,1995,24
Asia,Europe,1996,34
Asia,Europe,1997,27
Asia,Europe,1998,43
Asia,Europe,1999,9
Asia,Europe,2000,13
Asia,Europe,2001,35
Asia,Europe,2002,33
Asia,Europe,2003,284
Asia,Europe,2004,203
Asia,Europe,2005,444
Asia,Europe,2006,7866
Asia,Europe,2007,7511
Asia,Europe,2008,7585
Asia,Europe,2009,10483
Asia,Europe,2010,1532
Asia,Oceania,1985,1
Asia,Oceania,1989,1
Asia,Oceania,1992,2
Asia,Oceania,1993,1
Asia,Oceania,1994,2
Asia,Oceania,1995,1
Asia,Oceania,1997,2
Asia,Oceania,1998,4
Asia,Oceania,1999,4
Asia,Oceania,2000,2
Asia,Oceania,2001,12
Asia,Oceania,2002,10
Asia,Oceania,2003,9
Asia,Oceania,2004,26
Asia,Oceania,2005,23
Asia,Oceania,2006,1793
Asia,Oceania,2007,2788
Asia,Oceania,2008,3714
Asia,Oceania,2009,1673
Asia,Oceania,2010,227
Europe,Africa,1985,2
Europe,Africa,1986,11
Europe,Africa,1987,1
Europe,Africa,1990,5
Europe,Africa,1994,7
Europe,Africa,1995,7
Europe,Africa,1996,3
Europe,Africa,1997,12
Europe,Africa,2000,1
Europe,Africa,2001,1
Europe,Africa,2002,13
Europe,Africa,2003,8
Europe,Africa,2004,18
Europe,Africa,2005,30
Europe,Africa,2006,923
Europe,Africa,2007,1249
Europe,Africa,2008,1214
Europe,Africa,2009,1218
Europe,Africa,2010,165
Europe,Americas,1985,5
Europe,Americas,1986,1
Europe,Americas,1988,4
Europe,Americas,1989,1
Europe,Americas,1990,2
Europe,Americas,1991,3
Europe,Americas,1992,5
Europe,Americas,1993,2
Europe,Americas,1994,8
Europe,Americas,1995,5
Europe,Americas,1997,5
Europe,Americas,1998,2
Europe,Americas,1999,2
Europe,Americas,2000,22
Europe,Americas,2001,15
Europe,Americas,2002,120
Europe,Americas,2003,382
Europe,Americas,2004,1328
Europe,Americas,2005,2213
Europe,Americas,2006,4183
Europe,Americas,2007,5297
Europe,Americas,2008,4667
Europe,Americas,2009,4402
Europe,Americas,2010,881
Europe,Asia,1985,14
Europe,Asia,1986,4
Europe,Asia,1987,6
Europe,Asia,1988,1
Europe,Asia,1989,2
Europe,Asia,1990,5
Europe,Asia,1992,1
Europe,Asia,1993,3
Europe,Asia,1994,9
Europe,Asia,1995,5
Europe,Asia,1996,1
Europe,Asia,1997,1
Europe,Asia,1998,8
Europe,Asia,2000,3
Europe,Asia,2001,19
Europe,Asia,2002,7
Europe,Asia,2003,11
Europe,Asia,2004,56
Europe,Asia,2005,81
Europe,Asia,2006,2634
Europe,Asia,2007,3691
Europe,Asia,2008,3709
Europe,Asia,2009,3830
Europe,Asia,2010,489
Europe,Europe,1985,17
Europe,Europe,1986,10
Europe,Europe,1987,1
Europe,Europe,1988,12
Europe,Europe,1989,11
Europe,Europe,1990,12
Europe,Europe,1991,23
Europe,Europe,1992,60
Europe,Europe,1993,8
Europe,Europe,1994,45
Europe,Europe,1995,26
Europe,Europe,1996,1
Europe,Europe,1997,28
Europe,Europe,1998,11
Europe,Europe,1999,9
Europe,Europe,2000,19
Europe,Europe,2001,33
Europe,Europe,2002,184
Europe,Europe,2003,513
Europe,Europe,2004,825
Europe,Europe,2005,1820
Europe,Europe,2006,13655
Europe,Europe,2007,16396
Europe,Europe,2008,14914
Europe,Europe,2009,16530
Europe,Europe,2010,2678
Europe,Oceania,1993,1
Europe,Oceania,2001,1
Europe,Oceania,2004,7
Europe,Oceania,2005,3
Europe,Oceania,2006,220
Europe,Oceania,2007,330
Europe,Oceania,2008,273
Europe,Oceania,2009,292
Europe,Oceania,2010,48
Oceania,Africa,2006,8
Oceania,Africa,2007,12
Oceania,Africa,2008,49
Oceania,Africa,2009,30
Oceania,Africa,2010,2
Oceania,Americas,2004,97
Oceania,Americas,2005,205
Oceania,Americas,2006,281
Oceania,Americas,2007,335
Oceania,Americas,2008,497
Oceania,Americas,2009,806
Oceania,Americas,2010,108
Oceania,Asia,2004,7
Oceania,Asia,2005,21
Oceania,Asia,2006,235
Oceania,Asia,2007,374
Oceania,Asia,2008,543
Oceania,Asia,2009,1114
Oceania,Asia,2010,85
Oceania,Europe,2005,2
Oceania,Europe,2006,104
Oceania,Europe,2007,127
Oceania,Europe,2008,368
Oceania,Europe,2009,467
Oceania,Europe,2010,40
Oceania,Oceania,1997,4
Oceania,Oceania,2004,22
Oceania,Oceania,2005,121
Oceania,Oceania,2006,1605
Oceania,Oceania,2007,1990
Oceania,Oceania,2008,1584
Oceania,Oceania,2009,2269
Oceania,Oceania,2010,281
